created_at;comment_id;user_id
7 Январь, 2024, 04:29;41 000;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
7 Январь, 2024, 12:02;40 975;eb3a258b-b922-8aec-674f-772b034ec71f
7 Январь, 2024, 14:35;40 999;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
7 Январь, 2024, 15:17;40 933;132e0529-0957-7298-a0c2-a32b290bf4f8
7 Январь, 2024, 16:10;40 968;63e44bda-1098-3ae9-c69e-e5220ace30f0
7 Январь, 2024, 16:10;41 000;63e44bda-1098-3ae9-c69e-e5220ace30f0
7 Январь, 2024, 17:20;40 957;49eff8f4-4aa9-3bb5-20dd-695090af074d
7 Январь, 2024, 20:50;41 010;d8005a31-1681-eb1c-63dd-f4d4adc6bf5b
7 Январь, 2024, 20:50;40 958;d8005a31-1681-eb1c-63dd-f4d4adc6bf5b
7 Январь, 2024, 20:52;40 999;7945911f-c026-4285-73f8-b806a91f35e4
7 Январь, 2024, 23:50;40 999;1e239b8a-6fe4-01fc-1be7-9454fc715ece
7 Январь, 2024, 23:51;41 010;1e239b8a-6fe4-01fc-1be7-9454fc715ece
7 Январь, 2024, 23:59;41 000;2f90b519-399c-435a-e12b-1dd2dd0385b5
8 Январь, 2024, 02:34;40 958;11b7e967-e9e4-d2f8-b4d2-e6e0e8515f88
8 Январь, 2024, 02:34;41 010;11b7e967-e9e4-d2f8-b4d2-e6e0e8515f88
8 Январь, 2024, 14:45;41 000;e9fc5d0d-18af-0b61-ae1b-c2c4765b0a17
8 Январь, 2024, 16:52;40 992;e6671572-6111-3e27-9a17-728a9a419357
8 Январь, 2024, 16:53;40 998;e6671572-6111-3e27-9a17-728a9a419357
8 Январь, 2024, 17:05;41 012;d068ddf5-e178-40af-94e8-45462a1781c3
8 Январь, 2024, 17:10;41 021;20f69969-b9ac-072f-ec63-8eb46e52bcc0
8 Январь, 2024, 18:49;41 012;cb3c8194-c911-b709-41f4-75ed6e16ccb0
8 Январь, 2024, 18:54;41 022;d8005a31-1681-eb1c-63dd-f4d4adc6bf5b
8 Январь, 2024, 19:24;41 022;0919dc7f-d5ad-d84e-2c25-dd10afc9163b
8 Январь, 2024, 20:36;40 959;0919dc7f-d5ad-d84e-2c25-dd10afc9163b
8 Январь, 2024, 22:12;40 918;f075661b-8c93-1997-7250-604a8c48e43e
8 Январь, 2024, 22:12;40 996;f075661b-8c93-1997-7250-604a8c48e43e
8 Январь, 2024, 22:29;41 026;e9830e74-38da-8bb8-a7fa-6b2ec01d063e
9 Январь, 2024, 01:26;41 024;cdb4ffdd-e90c-76ac-fe8d-9c644deb6061
9 Январь, 2024, 01:41;41 024;1e239b8a-6fe4-01fc-1be7-9454fc715ece
9 Январь, 2024, 05:52;41 024;dd9452d3-e828-c229-7f00-a04c7057d0a8
9 Январь, 2024, 06:52;41 024;315c60b6-9fe4-2581-8fd0-616f45aaa1e9
9 Январь, 2024, 08:02;41 022;be6c2386-7031-8a3b-f028-cce0ea537d17
9 Январь, 2024, 08:02;41 010;be6c2386-7031-8a3b-f028-cce0ea537d17
9 Январь, 2024, 08:11;41 026;0919dc7f-d5ad-d84e-2c25-dd10afc9163b
9 Январь, 2024, 08:47;40 998;dc161948-7db3-8b73-9f7b-e21e5e391f1e
9 Январь, 2024, 08:47;41 026;dc161948-7db3-8b73-9f7b-e21e5e391f1e
